dong,timestamp,pred_p10,pred_p50,pred_p90
신영동,2033-02-01,1845.3729248046875,1847.592529296875,1861.9168701171875
신영동,2033-03-01,1772.680419921875,1776.45361328125,1788.131591796875
신영동,2033-04-01,1456.432373046875,1463.202392578125,1470.552490234375
신영동,2033-05-01,1581.835205078125,1586.9658203125,1594.933349609375
신영동,2033-06-01,1664.145751953125,1668.3016357421875,1677.8697509765625
신영동,2033-07-01,1628.535888671875,1632.3486328125,1639.0068359375
신영동,2033-08-01,1455.164306640625,1460.85302734375,1466.822021484375
신영동,2033-09-01,1628.28662109375,1632.031494140625,1638.5570068359375
신영동,2033-10-01,1648.03955078125,1651.695556640625,1658.6693115234375
신영동,2033-11-01,1703.8072509765625,1707.4676513671875,1716.21630859375
신영동,2033-12-01,1507.82421875,1513.856689453125,1521.9814453125
신영동,2034-01-01,1638.360595703125,1643.353515625,1654.13134765625
신영동,2034-02-01,1844.867431640625,1847.1007080078125,1861.3394775390625
신영동,2034-03-01,1771.500732421875,1775.271240234375,1786.8958740234375
신영동,2034-04-01,1456.507080078125,1463.269287109375,1470.6044921875
신영동,2034-05-01,1581.635498046875,1586.7635498046875,1594.7259521484375
신영동,2034-06-01,1663.715087890625,1667.8642578125,1677.450439453125
신영동,2034-07-01,1628.45849609375,1632.2691650390625,1638.9222412109375
신영동,2034-08-01,1455.19384765625,1460.882080078125,1466.8433837890625
신영동,2034-09-01,1628.1082763671875,1631.85205078125,1638.3670654296875
신영동,2034-10-01,1647.803466796875,1651.458740234375,1658.419677734375
신영동,2034-11-01,1703.73681640625,1707.3946533203125,1716.13525390625
신영동,2034-12-01,1507.915771484375,1513.94384765625,1522.05712890625
신영동,2035-01-01,1638.9969482421875,1643.981689453125,1654.726806640625
신영동,2035-02-01,1844.378662109375,1846.6240234375,1860.7889404296875
신영동,2035-03-01,1766.2073974609375,1769.940185546875,1781.3946533203125
신영동,2035-04-01,1456.3916015625,1463.143310546875,1470.4630126953125
신영동,2035-05-01,1581.408203125,1586.535400390625,1594.490966796875
신영동,2035-06-01,1663.284423828125,1667.4287109375,1677.033447265625
신영동,2035-07-01,1628.3828125,1632.19189453125,1638.839599609375
신영동,2035-08-01,1455.21533203125,1460.9033203125,1466.85791015625
신영동,2035-09-01,1627.953125,1631.6962890625,1638.2021484375
신영동,2035-10-01,1647.593505859375,1651.24853515625,1658.197021484375
신영동,2035-11-01,1703.6708984375,1707.326904296875,1716.060791015625
신영동,2035-12-01,1508.002685546875,1514.027099609375,1522.1302490234375
신원동,2026-01-01,1603.694580078125,1608.9683837890625,1620.172119140625
신원동,2026-02-01,1844.612548828125,1846.92041015625,1862.165283203125
신원동,2026-03-01,1778.416748046875,1782.308349609375,1793.754150390625
신원동,2026-04-01,1457.0609130859375,1463.964599609375,1471.5484619140625
신원동,2026-05-01,1583.96142578125,1589.2669677734375,1597.38623046875
신원동,2026-06-01,1667.141845703125,1671.489990234375,1680.80029296875
신원동,2026-07-01,1629.40283203125,1633.271728515625,1640.01513671875
신원동,2026-08-01,1454.6861572265625,1460.40380859375,1466.4970703125
신원동,2026-09-01,1630.807861328125,1634.5906982421875,1641.277099609375
신원동,2026-10-01,1651.60107421875,1655.309814453125,1662.4105224609375
신원동,2026-11-01,1703.9066162109375,1707.649169921875,1716.522705078125
신원동,2026-12-01,1506.73779296875,1512.834716796875,1521.1251220703125
신원동,2027-01-01,1643.56982421875,1648.712646484375,1659.89501953125
신원동,2027-02-01,1850.625,1852.968994140625,1867.6177978515625
신원동,2027-03-01,1785.08349609375,1788.964111328125,1801.129638671875
신원동,2027-04-01,1456.516845703125,1463.3719482421875,1470.878173828125
신원동,2027-05-01,1583.044921875,1588.3271484375,1596.3797607421875
신원동,2027-06-01,1666.8701171875,1671.1865234375,1680.510986328125
신원동,2027-07-01,1629.2783203125,1633.1298828125,1639.85009765625
신원동,2027-08-01,1454.696044921875,1460.403564453125,1466.46533203125
신원동,2027-09-01,1630.28564453125,1634.0562744140625,1640.70703125
신원동,2027-10-01,1650.83642578125,1654.5294189453125,1661.597900390625
신원동,2027-11-01,1703.9639892578125,1707.6842041015625,1716.5206298828125
신원동,2027-12-01,1507.345947265625,1513.427490234375,1521.678955078125
신원동,2028-01-01,1639.500732421875,1644.593017578125,1655.656494140625
신원동,2028-02-01,1847.8111572265625,1850.21826171875,1864.441650390625
신원동,2028-03-01,1782.3038330078125,1786.1556396484375,1798.19970703125
신원동,2028-04-01,1456.0677490234375,1462.904052734375,1470.374267578125
신원동,2028-05-01,1582.837158203125,1588.067626953125,1596.092529296875
신원동,2028-06-01,1666.7413330078125,1671.030029296875,1680.3404541015625
신원동,2028-07-01,1629.1236572265625,1632.965087890625,1639.668212890625
신원동,2028-08-01,1454.7615966796875,1460.463134765625,1466.502197265625
신원동,2028-09-01,1629.857177734375,1633.620361328125,1640.2410888671875
신원동,2028-10-01,1650.21484375,1653.897216796875,1660.9410400390625
신원동,2028-11-01,1703.937744140625,1707.642578125,1716.451171875
신원동,2028-12-01,1507.7374267578125,1513.8072509765625,1522.02734375
신원동,2029-01-01,1635.8486328125,1640.919921875,1651.926025390625
신원동,2029-02-01,1847.897705078125,1850.0810546875,1865.0245361328125
신원동,2029-03-01,1780.08642578125,1783.917724609375,1795.87939453125
신원동,2029-04-01,1456.0208740234375,1462.84423828125,1470.286376953125
신원동,2029-05-01,1582.875732421875,1588.056640625,1596.06689453125
신원동,2029-06-01,1666.59716796875,1670.86474609375,1680.168701171875
신원동,2029-07-01,1628.98193359375,1632.816162109375,1639.50634765625
신원동,2029-08-01,1454.8193359375,1460.51708984375,1466.53857421875
신원동,2029-09-01,1629.4981689453125,1633.256103515625,1639.85302734375
신원동,2029-10-01,1649.7044677734375,1653.37939453125,1660.4039306640625
신원동,2029-11-01,1703.8763427734375,1707.5701904296875,1716.35693359375
신원동,2029-12-01,1507.99658203125,1514.057373046875,1522.251953125
신원동,2030-01-01,1636.0382080078125,1641.0947265625,1652.05810546875
신원동,2030-02-01,1847.635986328125,1849.83642578125,1864.588134765625
신원동,2030-03-01,1778.07177734375,1781.88916015625,1793.765380859375
신원동,2030-04-01,1456.1761474609375,1462.984619140625,1470.3994140625
신원동,2030-05-01,1582.7454833984375,1587.903076171875,1595.901123046875
신원동,2030-06-01,1666.4296875,1670.680419921875,1679.9920654296875
신원동,2030-07-01,1628.8623046875,1632.69091796875,1639.370361328125
신원동,2030-08-01,1454.87255859375,1460.56787109375,1466.57470703125
신원동,2030-09-01,1629.194580078125,1632.94921875,1639.5263671875
신원동,2030-10-01,1649.2823486328125,1652.9521484375,1659.961181640625
신원동,2030-11-01,1703.805419921875,1707.4912109375,1716.2607421875
신원동,2030-12-01,1508.192626953125,1514.24609375,1522.419677734375
