cluster,timestamp,var_p10,var_p50,var_p90
보합,2030-09-01,1575.1707226554083,1609.7450425955667,1644.3193625357253
보합,2030-10-01,1469.0142224867702,1545.0299956984659,1621.0457689101613
보합,2030-11-01,1490.8275582346614,1565.354514330338,1639.8814704260144
보합,2030-12-01,1443.58168022285,1542.106404897674,1640.631129572498
보합,2031-01-01,1433.6568802781705,1524.616480131785,1615.5760799853992
보합,2031-02-01,1454.3271409649244,1530.3127284812194,1606.2983159975145
보합,2031-03-01,1494.1125877063578,1563.4723892540285,1632.8321908016992
보합,2031-04-01,1514.8009206325078,1601.3105464840996,1687.8201723356915
보합,2031-05-01,1522.2054670329182,1582.8086589988784,1643.4118509648388
보합,2031-06-01,1560.7082236396298,1626.157115434476,1691.6060072293224
보합,2031-07-01,1546.2393580430726,1638.3744641437731,1730.5095702444737
보합,2031-08-01,1547.5181826988394,1634.7536985881989,1721.9892144775583
보합,2031-09-01,1532.8110150470338,1598.6621444256693,1664.5132738043046
보합,2031-10-01,1622.4838390146463,1666.184476893934,1709.8851147732216
보합,2031-11-01,1587.987474445767,1656.177194138578,1724.366913831389
보합,2031-12-01,1576.4392166419589,1658.4098605715753,1740.3805045011918
보합,2032-01-01,1551.949759599289,1637.661333463481,1723.372907327673
보합,2032-02-01,1536.107411501352,1649.888886309308,1763.6703611172636
보합,2032-03-01,1494.677952526705,1624.1379314248038,1753.5979103229029
보합,2032-04-01,1510.1935552537043,1624.7930993713198,1739.3926434889356
보합,2032-05-01,1575.2205513682675,1665.167993053254,1755.1154347382403
보합,2032-06-01,1662.5310808310958,1718.9397670755357,1775.3484533199758
보합,2032-07-01,1649.1360792889386,1712.0785248600905,1775.0209704312424
보합,2032-08-01,1631.8234508034425,1708.209711075961,1784.5959713484797
보합,2032-09-01,1554.0547964709938,1676.734268268514,1799.413740066034
보합,2032-10-01,1580.6824595301712,1722.4088417706962,1864.1352240112212
보합,2032-11-01,1593.3043995809135,1761.1865901802846,1929.0687807796558
보합,2032-12-01,1581.3462760304383,1730.992616379246,1880.6389567280542
보합,2033-01-01,1617.8748513767862,1743.3900803665729,1868.9053093563598
보합,2033-02-01,1678.3170763622684,1728.6461217305382,1778.9751670988082
보합,2033-03-01,1616.087695951618,1675.5190204053501,1734.9503448590824
보합,2033-04-01,1657.2924371610145,1688.2704439899805,1719.2484508189466
보합,2033-05-01,1644.8738557414051,1682.1510577565357,1719.4282597716663
보합,2033-06-01,1670.1010894263625,1699.4381879242876,1728.7752864222127
보합,2033-07-01,1705.8235442153382,1728.381899450062,1750.9402546847862
보합,2033-08-01,1709.9671563461363,1740.5830568513402,1771.1989573565438
보합,2033-09-01,1712.3997259500104,1740.1907507303513,1767.9817755106924
보합,2033-10-01,1747.3320392107978,1755.6900930385382,1764.0481468662788
보합,2033-11-01,1690.8343995388962,1715.7619112213883,1740.6894229038805
보합,2033-12-01,1693.5140174548046,1702.519820798142,1711.5256241414797
보합,2034-01-01,1705.2638744172152,1722.0577723257566,1738.8516702342977
보합,2034-02-01,1679.4992578446806,1685.5370415041375,1691.5748251635941
보합,2034-03-01,1689.856862473463,1715.6118448966718,1741.3668273198805
보합,2034-04-01,1706.9325577918046,1718.5524098448495,1730.1722618978947
보합,2034-05-01,1716.336179759073,1724.8389219414494,1733.341664123826
보합,2034-06-01,1742.6992386893683,1751.463200684808,1760.2271626802478
보합,2034-07-01,1788.957255793513,1790.7856982643889,1792.6141407352648
보합,2034-08-01,1766.4697059623697,1770.6994177236302,1774.9291294848908
보합,2034-09-01,1692.9586661809167,1704.7111972819075,1716.4637283828984
보합,2034-10-01,1638.1934272844815,1674.0595969667834,1709.925766649085
보합,2034-11-01,1666.2067479668672,1705.769771933191,1745.3327958995146
보합,2034-12-01,1623.450817049706,1694.7402889867158,1766.0297609237257
보합,2035-01-01,1613.5623460654992,1725.8032497042886,1838.0441533430783
보합,2035-02-01,1605.2898584471557,1693.4640404499196,1781.6382224526833
보합,2035-03-01,1611.76519786591,1622.1541844051412,1632.5431709443726
보합,2035-04-01,1561.3053879477668,1579.923675615276,1598.541963282785
보합,2035-05-01,1523.895046074873,1565.3483216939394,1606.8015973130055
보합,2035-06-01,1498.8051626261308,1547.1230846798935,1595.4410067336564
보합,2035-07-01,1527.3922177980294,1546.417633981082,1565.4430501641343
보합,2035-08-01,1546.4674183201105,1582.022786252618,1617.5781541851256
보합,2035-09-01,1555.694178186499,1575.5797064400429,1595.4652346935868
보합,2035-10-01,1502.816593029851,1517.8236137824215,1532.8306345349918
보합,2035-11-01,1484.025304745037,1530.1088998444807,1576.1924949439247
보합,2035-12-01,1518.0656263807114,1545.3207199932262,1572.5758136057411
상승,2026-01-01,1431.195849381778,1477.9298348742311,1530.4198899433432
상승,2026-02-01,1416.647972310262,1477.316642937191,1552.3563991150222
상승,2026-03-01,1392.0608205913056,1479.5751033209629,1566.4630092371249
상승,2026-04-01,1386.931351372204,1487.9115229091617,1592.818457347187
상승,2026-05-01,1382.7339695343694,1495.5640736755226,1607.651345282047
상승,2026-06-01,1368.4136353639192,1498.5006236504134,1620.0898324734912
상승,2026-07-01,1354.5650910539273,1501.9957756662648,1641.0607623580338
상승,2026-08-01,1350.288397432077,1503.6784045062998,1661.8476641767793
상승,2026-09-01,1349.3132276429646,1506.9285474696044,1672.8371975770772
상승,2026-10-01,1347.5154125103663,1511.5804103127346,1684.6044655493993
상승,2026-11-01,1347.6525660461825,1522.8043080537293,1697.042879753649
상승,2026-12-01,1350.2393278964603,1530.2934369781321,1707.8720393649394
상승,2027-01-01,1353.1956388879048,1541.0264868463391,1724.008507998608
상승,2027-02-01,1341.2304994580068,1546.136359370451,1742.494439021676
상승,2027-03-01,1357.9105157870385,1551.6264186983954,1754.556888631248
상승,2027-04-01,1352.532045446399,1560.8919591511153,1777.4685564465456
상승,2027-05-01,1352.502457314535,1576.4076111865138,1798.4029790574757
상승,2027-06-01,1351.876527776632,1584.8615394571377,1810.10865517589
상승,2027-07-01,1372.1344928515114,1591.869639835504,1829.1779401110616
상승,2027-08-01,1362.4303900472512,1599.4638672445697,1833.5600163852027
상승,2027-09-01,1386.9289404260112,1611.587640801051,1862.9173001779166
상승,2027-10-01,1389.7825564112263,1627.8573711755898,1868.942630338144
상승,2027-11-01,1400.8485485352528,1650.1499428511038,1886.732909381253
상승,2027-12-01,1401.148287685271,1653.9919625559126,1908.7048305651067
상승,2028-01-01,1411.7292535817357,1660.904455638229,1938.185409345061
상승,2028-02-01,1416.9672496237038,1675.0066103954798,1961.2543092050316
상승,2028-03-01,1418.3247474732034,1685.518513977117,1967.0499631582761
상승,2028-04-01,1424.9124034321126,1693.0381156081994,1995.7814804469408
상승,2028-05-01,1428.8358464062317,1716.1500430704593,2019.260493947885
상승,2028-06-01,1427.9228006875153,1726.4778285661655,2032.047784950157
상승,2028-07-01,1440.283412196004,1734.606830708301,2047.0313821121235
상승,2028-08-01,1450.1276971563555,1757.0669840739056,2057.589739556938
상승,2028-09-01,1452.5273869556413,1763.7380064131798,2071.4517589525235
상승,2028-10-01,1463.6551595107387,1779.1073679976398,2079.2959240481887
상승,2028-11-01,1470.2492022334577,1799.8774537809463,2093.6731252816066
상승,2028-12-01,1477.024232415784,1806.5662009126033,2125.4221744855245
상승,2029-01-01,1484.722887962288,1826.5089452945572,2141.45153112704
상승,2029-02-01,1506.6149382907759,1833.756642201055,2158.513752780719
상승,2029-03-01,1509.4310562498931,1851.3641693687807,2181.6933624621315
상승,2029-04-01,1509.835891954766,1867.5171191365885,2192.9516611444283
상승,2029-05-01,1510.6063938185357,1876.6268080120342,2224.777339007784
상승,2029-06-01,1526.8826059789599,1886.7799714314197,2234.9764402922847
상승,2029-07-01,1522.1930082692493,1899.8506536024543,2253.5707074912693
상승,2029-08-01,1546.4230848808293,1913.4949859483413,2265.414598641564
상승,2029-09-01,1552.7446201899359,1920.1507639352953,2275.7809569134474
상승,2029-10-01,1568.89721372898,1934.2442736424794,2295.949699496724
상승,2029-11-01,1584.3887231181466,1939.9747950443395,2313.119066685349
상승,2029-12-01,1603.161611451631,1961.4946408581795,2335.0337065119948
상승,2030-01-01,1606.3167056611308,1973.3457771469912,2347.7017989795672
상승,2030-02-01,1621.2974693168528,1985.1426263294516,2378.1786731713764
상승,2030-03-01,1633.2714263849034,1996.9897902884456,2382.371567910591
상승,2030-04-01,1646.5672305654325,2020.288592421342,2401.4579536632186
상승,2030-05-01,1660.444854307451,2031.953252589286,2434.764387064591
상승,2030-06-01,1667.9587566929215,2047.4763081116107,2451.242663678835
상승,2030-07-01,1676.9760225198456,2067.2411332542906,2469.5144232511952
상승,2030-08-01,1681.0444290007713,2080.3216290862283,2483.965914214595
상승,2030-09-01,1694.2148976693802,2087.6179135858347,2490.35563147106
상승,2030-10-01,1711.5598197432466,2094.3731418474154,2514.516177159096
상승,2030-11-01,1726.210866990747,2114.3990290816337,2541.156840385751
상승,2030-12-01,1732.5507079661677,2130.190034216634,2567.693646143787
상승,2031-01-01,1751.0677620041015,2137.500209619624,2592.967144076125
상승,2031-02-01,1751.3716816169463,2151.459600329192,2610.695927825414
상승,2031-03-01,1753.0008779061554,2160.301434230177,2626.755182797113
상승,2031-04-01,1780.565047135886,2186.0408279352,2628.1407902872843
상승,2031-05-01,1789.7535341669739,2205.4221059634783,2657.8747220615983
상승,2031-06-01,1796.7031459154716,2215.378327422864,2680.5240938554216
상승,2031-07-01,1810.2745684628953,2224.3012345946704,2713.703651931376
상승,2031-08-01,1830.0868306015855,2251.6378594205785,2725.0147822137283
상승,2031-09-01,1841.1778604906094,2266.320843277152,2739.15603701409
상승,2031-10-01,1857.1645002713803,2280.565722575375,2759.7060928591177
상승,2031-11-01,1862.1958602757313,2291.8523911998127,2783.483655362586
상승,2031-12-01,1866.0217891860118,2298.3107895670037,2796.1854511592637
상승,2032-01-01,1874.321032979811,2320.2705202131056,2803.1753479684276
상승,2032-02-01,1880.0630398925398,2341.9702156089506,2812.3139578722084
