dong,adf_stat,p_value,used_lag,n_obs,is_stationary
혜화동,-2.43113255692991,0.36320309577544874,10,181,False
홍은동,-2.43113255692991,0.36320309577544874,10,181,False
홍익동,-2.43113255692991,0.36320309577544874,10,181,False
홍제동,-2.43113255692991,0.36320309577544874,10,181,False
홍파동,-2.43113255692991,0.36320309577544874,10,181,False
화곡동,-2.43113255692991,0.36320309577544874,10,181,False
화양동,-2.43113255692991,0.36320309577544874,10,181,False
황학동,-2.43113255692991,0.36320309577544874,10,181,False
회기동,-2.43113255692991,0.36320309577544874,10,181,False
효제동,-2.43113255692991,0.36320309577544874,10,181,False
효창동,-2.43113255692991,0.36320309577544874,10,181,False
후암동,-2.43113255692991,0.36320309577544874,10,181,False
휘경동,-2.43113255692991,0.36320309577544874,10,181,False
흑석동,-2.43113255692991,0.36320309577544874,10,181,False
흥인동,-2.43113255692991,0.36320309577544874,10,181,False
