step,timestamp,N_scenarios,p5,p10,p25,p50,p75,p90,p95
189,2041-09-01,730,2968.4036639511696,3205.207902626507,3596.4390054325877,4021.1179816634913,4448.150751371348,4851.253319552386,5056.488208752507
190,2041-10-01,730,2992.784207459323,3225.017085574639,3599.299211099258,4033.640226316184,4455.22869412923,4875.783825101655,5074.688128098014
191,2041-11-01,730,3027.0129208714548,3233.0875499487056,3634.0617381547827,4063.1568632111976,4463.967595479717,4893.421051835095,5110.264193023383
192,2041-12-01,730,3030.057292896641,3239.866244883561,3642.311131391485,4068.7827325292806,4478.575799147667,4877.780745564174,5145.299989045044
193,2042-01-01,730,3019.04733905515,3248.6292383540017,3651.220610231837,4085.4606354154266,4499.933482321358,4882.288220767857,5138.026478451903
194,2042-02-01,730,3031.160862359197,3276.1580904927555,3661.7317432114905,4092.9872337464058,4515.409685396306,4902.35543497906,5144.729878498277
195,2042-03-01,730,3029.7231112570553,3300.854643725113,3673.2946905153594,4112.588348094173,4534.878649298991,4959.397688770456,5147.959303115685
196,2042-04-01,730,3059.109827235127,3304.6747398116277,3694.0614722471837,4116.032861756813,4557.397966174233,4974.759818270263,5154.533470489091
197,2042-05-01,730,3064.704994314241,3317.206530057442,3689.540533707089,4128.739686909092,4564.646094032453,4986.338949627882,5179.621651517642
198,2042-06-01,730,3079.9572203441367,3346.254960394992,3710.1888700722448,4121.876102811033,4581.237371509596,5005.85215818902,5201.5261104548945
199,2042-07-01,730,3098.178538823218,3359.2888868287387,3731.9954537755484,4154.216908630564,4597.07521947403,5017.431356790632,5235.500091217497
200,2042-08-01,730,3114.7506101675876,3356.219634028095,3741.306425246181,4152.761499901946,4601.805996531993,5021.936083610795,5251.473300397349
201,2042-09-01,730,3147.4434331309753,3366.4483721791426,3766.3517655674,4169.87755561199,4615.18328624997,5048.35447717063,5263.765902601568
202,2042-10-01,730,3151.327244773834,3395.295724716626,3778.383299436451,4189.668429324558,4631.74182622536,5044.936841442949,5297.939407180329
203,2042-11-01,730,3154.763104960207,3434.0581359036933,3788.637327826723,4210.787000117935,4662.457614343205,5073.805803879896,5291.133581677442
204,2042-12-01,730,3158.891062113293,3443.2749243522244,3790.5267866664853,4223.412762999836,4679.479314574685,5090.018922756368,5306.1766542585365
205,2043-01-01,730,3142.6369385748735,3460.0915201463954,3790.2631972195295,4233.65049396073,4690.528278428855,5082.6637158576,5329.520557484365
206,2043-02-01,730,3171.632782624578,3421.1784148419797,3807.9774034622556,4250.448647505079,4696.409290190158,5094.652066680657,5345.265911849304
207,2043-03-01,730,3189.0446136930223,3459.5629078486822,3813.73355305863,4266.944177835395,4718.073169437837,5121.956739028007,5367.493076680674
208,2043-04-01,730,3186.317073450568,3469.708617148984,3822.683645278324,4293.650901632864,4726.131143085666,5148.997983216525,5382.29502867012
209,2043-05-01,730,3196.0695694319325,3472.088194669851,3841.8925405113405,4298.091265866888,4751.228807852101,5165.64319668776,5398.0485213572965
210,2043-06-01,730,3201.3897226127083,3473.219748198597,3860.157502706415,4315.895648962262,4773.006474003668,5177.230170212392,5391.7396475089345
211,2043-07-01,730,3215.7756387962954,3488.313098020298,3872.2052463818072,4334.8479240398665,4780.938107119684,5197.325545738835,5397.524299330483
212,2043-08-01,730,3231.0978475408783,3524.113431188489,3886.7525961251,4351.801504653151,4800.807054489316,5231.050246171789,5387.933913242783
213,2043-09-01,730,3247.1036494286154,3528.008633615146,3891.904097537108,4350.046699975599,4830.001654926935,5228.974709049168,5478.524135723844
214,2043-10-01,730,3267.889507273747,3524.2759424206706,3905.4566772697626,4362.804920727557,4813.667870961246,5252.216560212672,5494.732856394771
215,2043-11-01,730,3284.346298864158,3540.7915640404967,3925.6018931752587,4385.898897004038,4822.379575877203,5258.595692127125,5515.0459234523205
216,2043-12-01,730,3284.4378151706533,3559.9683824816707,3934.112865931585,4393.243186603879,4857.29920011455,5292.115149459188,5530.471582581786
