hybrid_alpha,residual_decay,hybrid_quantile_shrink,rmse,mae,mape,coverage80,band_width,band_width_pct
0.7,0.85,0.8,119.31363185021915,93.33868500055597,6.145633308456509,88.88888888888889,400.8271491002875,26.51754585199318
0.7,0.85,0.2,119.31363185021915,93.33868500055597,6.145633308456509,88.88888888888889,395.7787968090025,26.183561705306367
0.7,0.85,0.4,119.31363185021915,93.33868500055597,6.145633308456509,88.88888888888889,397.44695382904985,26.293922069784482
0.7,0.85,1.0,119.31363185021915,93.33868500055597,6.145633308456509,88.88888888888889,402.5176010406601,26.62938118285847
0.8,0.85,0.4,119.96784620184077,94.06707129237135,6.1939993101893975,88.88888888888889,398.43863547268467,26.359528812029097
0.8,0.85,0.2,119.96784620184077,94.06707129237135,6.1939993101893975,86.11111111111111,396.519338073012,26.232553738325453
0.8,0.85,0.8,119.96784620184077,94.06707129237135,6.1939993101893975,88.88888888888889,402.199065827037,26.608307829539747
0.8,0.85,0.6,119.96784620184077,94.06707129237135,6.1939993101893975,88.88888888888889,400.3350563573757,26.484990442752842
0.8,0.85,1.0,119.96784620184077,94.06707129237135,6.1939993101893975,88.88888888888889,404.0524788007092,26.730924183303088
0.9,0.85,0.8,120.75802754848837,94.66940205768965,6.235356711814964,86.11111111111111,403.50990418150604,26.69502904153152
0.9,0.85,1.0,120.75802754848837,94.66940205768965,6.235356711814964,88.88888888888889,405.6944392587117,26.839551460247712
0.9,0.85,0.6,120.75802754848837,94.66940205768965,6.235356711814964,86.11111111111111,401.30725070240743,26.54930796260971
0.9,0.85,0.4,120.75802754848837,94.66940205768965,6.235356711814964,86.11111111111111,399.1234060424688,26.404831219870246
0.9,0.85,0.2,120.75802754848837,94.66940205768965,6.235356711814964,86.11111111111111,396.94157793332874,26.26048788620346
1.0,0.85,1.0,121.34152715213878,95.14257788625976,6.268278940988598,86.11111111111111,406.956925308688,26.923073825918042
1.0,0.85,0.8,121.34152715213878,95.14257788625976,6.268278940988598,86.11111111111111,404.5845687121095,26.76612568762886
1.0,0.85,0.6,121.34152715213878,95.14257788625976,6.268278940988598,86.11111111111111,402.20028536881085,26.608388510838353
1.0,0.85,0.4,121.34152715213878,95.14257788625976,6.268278940988598,86.11111111111111,399.8108716214546,26.450311921597518
1.0,0.85,0.2,121.34152715213878,95.14257788625976,6.268278940988598,86.11111111111111,397.42304558497835,26.292340370641025
0.6,0.9,0.6,126.77860541092862,101.24205417518115,6.677571574034541,88.88888888888889,404.3591348372656,26.75121164518891
0.6,0.9,0.8,126.77860541092862,101.24205417518115,6.677571574034541,88.88888888888889,406.3955746186094,26.885936514494347
